,MJD,Steered Frequencies
564,60166.666666666664,-1.0246232717808573e-15
565,60166.708333333336,-1.2616791117738592e-15
566,60166.75,6.414132294027804e-15
567,60166.791666666664,-6.792961826108524e-16
568,60166.833333333336,-2.1227450985928324e-15
569,60166.875,-2.197073650058099e-15
570,60166.916666666664,-4.926765809541928e-15
571,60166.958333333336,-2.200740630096317e-15
572,60167.0,-5.847803627236962e-15
573,60167.041666666664,-2.9837312747203502e-15
574,60167.083333333336,8.064346104804935e-16
575,60167.125,-7.130706658898219e-16
576,60167.166666666664,1.0370728610464283e-15
577,60167.208333333336,-4.854325993814778e-16
578,60167.25,8.616155478567438e-16
579,60167.291666666664,3.062938125926399e-15
580,60167.333333333336,-5.741073278788554e-16
581,60167.375,-3.772289983969978e-15
582,60167.416666666664,-4.062712133856476e-15
583,60167.458333333336,-1.6172435469890721e-15
584,60167.5,4.172479897814522e-15
585,60167.541666666664,5.006168831783563e-15
586,60167.583333333336,3.450194019499591e-15
587,60167.625,1.3536553080325447e-15
588,60167.666666666664,9.995061145722168e-16
589,60167.708333333336,-2.8277575444847583e-15
590,60167.75,7.121406649590515e-16
591,60167.791666666664,3.5237325928147304e-15
592,60167.833333333336,-5.567168880911084e-15
593,60167.875,7.204771699880313e-16
594,60167.916666666664,-4.699040391089542e-15
595,60167.958333333336,-4.298565560687329e-15
596,60168.0,-1.0461947554682494e-15
597,60168.041666666664,-3.421699612418655e-15
598,60168.083333333336,-2.5744201767752862e-15
599,60168.125,-1.4448274801265458e-15
600,60168.166666666664,1.1156220953837203e-15
601,60168.208333333336,-1.6303693352581396e-15
602,60168.25,-5.946592524535531e-15
603,60168.291666666664,-7.251880795274619e-16
604,60168.333333333336,1.948400772202591e-16
605,60168.375,4.890645783335745e-15
606,60168.416666666664,6.252028535602046e-15
607,60168.458333333336,1.7652864394191126e-15
608,60168.5,4.0649193960818114e-16
609,60168.541666666664,3.076806886454629e-16
610,60168.583333333336,-2.1879792332506755e-16
611,60168.625,-2.4964275798281213e-15
612,60168.666666666664,2.478130286416596e-15
613,60168.708333333336,5.733070113086727e-15
614,60168.75,2.7221522419680224e-15
615,60168.791666666664,1.3214661759615107e-15
616,60168.833333333336,-2.3560862341541556e-15
617,60168.875,1.121402001242594e-15
618,60168.916666666664,-1.3899715306921068e-16
619,60168.958333333336,-1.5897473988804966e-15
620,60169.0,5.723723464488854e-15
621,60169.041666666664,-6.38037038654066e-15
622,60169.083333333336,7.081728248915136e-16
623,60169.125,1.455783020177222e-15
624,60169.166666666664,-4.9462400371628354e-15
625,60169.208333333336,-9.619794239097619e-16
626,60169.25,2.481627683861698e-15
627,60169.291666666664,-4.05970799869593e-15
628,60169.333333333336,-6.4822961935374475e-15
629,60169.375,-1.5388169429003834e-15
630,60169.416666666664,7.842178990749489e-17
631,60169.5,3.74162667141989e-15
632,60169.541666666664,-3.3446728097639896e-15
633,60169.583333333336,1.409062690158511e-16
634,60169.625,5.341160426368665e-15
635,60169.666666666664,-2.0714383242118206e-15
636,60169.708333333336,-3.327368901690359e-15
637,60169.75,7.001361267903319e-15
638,60169.791666666664,-1.9589394094270396e-15
639,60169.833333333336,3.395407685518603e-16
640,60169.875,-8.621226460933811e-16
641,60169.916666666664,9.176179815599761e-17
642,60169.958333333336,-9.864802432738991e-16
643,60170.0,-1.3069057052841766e-15
644,60170.041666666664,-8.046000160614341e-17
645,60170.083333333336,2.097803899709402e-15
646,60170.125,-7.679207484577535e-15
647,60170.166666666664,8.684912267104648e-16
648,60170.208333333336,2.583497045349482e-15
649,60170.25,-9.35254855023581e-16
650,60170.291666666664,2.3862345142584172e-15
651,60170.333333333336,-2.9089665735681995e-15
652,60170.375,-5.149413104233763e-16
653,60170.416666666664,9.611594957199745e-16
654,60170.458333333336,2.2871075365448104e-15
655,60170.5,4.025746603636698e-15
656,60170.541666666664,3.2212676524571077e-15
657,60170.583333333336,1.0805819295299928e-14
658,60170.625,1.478933515040564e-15
659,60170.666666666664,3.4606781696974888e-15
660,60170.708333333336,2.3912355898193033e-15
661,60170.75,3.3225660984891552e-15
662,60170.791666666664,1.1930848258802977e-15
663,60170.833333333336,1.6375865103700015e-15
664,60170.875,-3.1826968283895065e-15
