,Fit_max,IM_max,Ld,RW,Rescaled_LD
361,41,33,-4.199999999999999,0.8,2.535452613307108e-16
362,45,36,-3.999999999999999,0.8,2.414716774578198e-16
363,48,48,-3.799999999999999,0.8,2.2939809358492877e-16
364,41,26,-3.5999999999999988,0.8,2.173245097120378e-16
365,45,50,-3.3999999999999986,0.8,2.0525092583914678e-16
366,40,49,-3.1999999999999984,0.8,1.9317734196625578e-16
367,40,43,-2.9999999999999982,0.8,1.811037580933648e-16
368,44,42,-2.799999999999998,0.8,1.6903017422047378e-16
369,42,34,-2.599999999999998,0.8,1.5695659034758278e-16
370,41,27,-2.3999999999999977,0.8,1.4488300647469177e-16
371,44,48,-2.199999999999997,0.8,1.3280942260180074e-16
372,41,42,-1.9999999999999971,0.8,1.2073583872890975e-16
373,45,54,-1.7999999999999972,0.8,1.0866225485601876e-16
374,40,38,-1.599999999999997,0.8,9.658867098312776e-17
375,41,41,-1.3999999999999968,0.8,8.451508711023676e-17
376,46,40,-1.1999999999999966,0.8,7.244150323734575e-17
377,45,38,-0.9999999999999964,0.8,6.036791936445475e-17
378,40,37,-0.7999999999999963,0.8,4.8294335491563747e-17
379,45,41,-0.5999999999999961,0.8,3.6220751618672745e-17
380,40,37,-0.3999999999999959,0.8,2.4147167745781738e-17
381,42,34,-0.1999999999999957,0.8,1.2073583872890733e-17
382,46,44,4.440892098500626e-15,0.8,-2.68087416108531e-31
383,43,50,0.2000000000000046,0.8,-1.207358387289127e-17
384,43,47,0.4000000000000048,0.8,-2.4147167745782274e-17
385,39,42,0.600000000000005,0.8,-3.622075161867328e-17
386,44,57,0.8000000000000052,0.8,-4.829433549156428e-17
387,38,28,1.000000000000005,0.8,-6.036791936445527e-17
388,40,40,1.2000000000000055,0.8,-7.244150323734629e-17
389,48,51,1.4000000000000057,0.8,-8.451508711023729e-17
390,40,32,1.600000000000006,0.8,-9.658867098312831e-17
391,42,40,1.800000000000006,0.8,-1.086622548560193e-16
392,41,50,2.000000000000006,0.8,-1.207358387289103e-16
393,46,49,2.2000000000000064,0.8,-1.328094226018013e-16
394,39,34,2.4000000000000066,0.8,-1.448830064746923e-16
395,40,34,2.6000000000000068,0.8,-1.5695659034758332e-16
396,42,30,2.800000000000007,0.8,-1.6903017422047433e-16
397,42,39,3.000000000000007,0.8,-1.811037580933653e-16
398,40,30,3.2000000000000064,0.8,-1.9317734196625627e-16
399,41,35,3.4000000000000075,0.8,-2.0525092583914733e-16
400,46,54,3.6000000000000085,0.8,-2.1732450971203838e-16
401,41,43,3.800000000000008,0.8,-2.293980935849293e-16
402,42,41,4.000000000000007,0.8,-2.414716774578203e-16
403,42,37,4.200000000000008,0.8,-2.5354526133071133e-16
404,44,51,4.400000000000009,0.8,-2.656188452036024e-16
405,41,51,4.6000000000000085,0.8,-2.7769242907649335e-16
406,44,37,4.800000000000008,0.8,-2.897660129493843e-16
407,44,40,5.000000000000009,0.8,-3.0183959682227536e-16
408,35,27,-5.0,0.9,3.018395968222748e-16
409,38,28,-4.8,0.9,2.8976601294938384e-16
410,39,40,-4.6,0.9,2.776924290764928e-16
411,38,29,-4.4,0.9,2.6561884520360187e-16
412,38,33,-4.199999999999999,0.9,2.535452613307108e-16
413,39,39,-3.999999999999999,0.9,2.414716774578198e-16
414,34,26,-3.799999999999999,0.9,2.2939809358492877e-16
415,32,30,-3.5999999999999988,0.9,2.173245097120378e-16
416,34,30,-3.3999999999999986,0.9,2.0525092583914678e-16
417,38,49,-3.1999999999999984,0.9,1.9317734196625578e-16
418,36,42,-2.9999999999999982,0.9,1.811037580933648e-16
419,30,30,-2.799999999999998,0.9,1.6903017422047378e-16
420,40,39,-2.599999999999998,0.9,1.5695659034758278e-16
421,39,42,-2.3999999999999977,0.9,1.4488300647469177e-16
422,40,38,-2.199999999999997,0.9,1.3280942260180074e-16
423,40,45,-1.9999999999999971,0.9,1.2073583872890975e-16
424,32,39,-1.7999999999999972,0.9,1.0866225485601876e-16
425,34,20,-1.599999999999997,0.9,9.658867098312776e-17
426,31,21,-1.3999999999999968,0.9,8.451508711023676e-17
427,39,34,-1.1999999999999966,0.9,7.244150323734575e-17
428,36,29,-0.9999999999999964,0.9,6.036791936445475e-17
429,37,35,-0.7999999999999963,0.9,4.8294335491563747e-17
430,33,27,-0.5999999999999961,0.9,3.6220751618672745e-17
431,33,22,-0.3999999999999959,0.9,2.4147167745781738e-17
432,38,28,-0.1999999999999957,0.9,1.2073583872890733e-17
433,40,52,4.440892098500626e-15,0.9,-2.68087416108531e-31
434,33,35,0.2000000000000046,0.9,-1.207358387289127e-17
435,35,25,0.4000000000000048,0.9,-2.4147167745782274e-17
436,41,37,0.600000000000005,0.9,-3.622075161867328e-17
437,34,25,0.8000000000000052,0.9,-4.829433549156428e-17
438,35,36,1.000000000000005,0.9,-6.036791936445527e-17
439,39,33,1.2000000000000055,0.9,-7.244150323734629e-17
440,38,41,1.4000000000000057,0.9,-8.451508711023729e-17
441,33,26,1.600000000000006,0.9,-9.658867098312831e-17
