% File initiated 20/09/2022 08:32:49 UTC
% Raw fountain data
%
% File notes: CERN_SNR_ off res VNA reference
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59842.356133
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot 2 MJD days	Shot 2 MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot 1 MJD days	Shot 1 MJD seconds	Shot order (0=LF->HF)
59842	31259	0.00519176	0.03180799	0.48799924	0.03168891	0.44033042	0.63339729	0.63310607	0.34507903	0.34409782	0.63339786	0.63308742	0.34507665	0.34412740	59842	31258	0
59842	31262	-0.00891902	0.03157293	0.45247605	0.03163528	0.49480838	0.63332670	0.63309136	0.34523327	0.34416331	0.63335431	0.63314330	0.34500105	0.34416200	59842	31261	0
59842	31266	-0.00115027	0.03159708	0.48626983	0.03176743	0.46296358	0.63377363	0.63311799	0.34447376	0.34420349	0.63339992	0.63308471	0.34527312	0.34419404	59842	31264	0
59842	31269	-0.00156998	0.03177003	0.48804036	0.03175082	0.48929949	0.63390470	0.63316080	0.34473547	0.34429109	0.63342835	0.63319022	0.34522710	0.34422083	59842	31267	0
59842	31272	-0.00222205	0.03186156	0.46734493	0.03170482	0.46930117	0.63369524	0.63332876	0.34484780	0.34422182	0.63383288	0.63330558	0.34477886	0.34427227	59842	31271	0
59842	31276	-0.01054151	0.03159912	0.44915952	0.03168248	0.47411788	0.63394636	0.63337116	0.34461871	0.34427022	0.63390675	0.63334996	0.34502439	0.34428328	59842	31274	0
59842	31279	0.00432021	0.03155935	0.49384767	0.03205969	0.44926251	0.63397988	0.63323541	0.34448772	0.34424261	0.63391218	0.63334051	0.34449849	0.34428073	59842	31277	0
59842	31282	0.00459595	0.03186593	0.46861900	0.03180197	0.46779178	0.63384693	0.63330904	0.34487344	0.34438863	0.63381751	0.63330739	0.34470786	0.34433464	59842	31280	0
59842	31285	0.00720186	0.03182703	0.46755675	0.03178903	0.45973901	0.63399550	0.63323500	0.34462602	0.34433595	0.63394677	0.63333098	0.34483769	0.34429996	59842	31284	0
59842	31289	0.00332059	0.03190274	0.47963639	0.03204412	0.49128021	0.63386517	0.63307994	0.34469611	0.34441673	0.63357650	0.63332522	0.34555554	0.34447047	59842	31287	0
